Gene,Parent,CPZ1,CPZ2,CPZ3,CPZ4,CFIX1,CFIX2,CFIX3,CFIX4,AMK1,AMK2,AMK3,AMK4,NM1,NM2,NM3,NM4,DOXY1,DOXY2,DOXY3,DOXY4,CP1,CP2,CP3,CP4,AZM1,AZM2,AZM3,AZM4,TP1,TP2,TP3,TP4,ENX1,ENX2,ENX3,ENX4,CPFX1,CPFX2,CPFX3,CPFX4,Parent (2nd)
thrL,4.653698041,4.605681589,4.58182273,4.530335351,4.535036538,4.633718423,4.576574263,4.486550087,4.643461571,4.609882648,4.464461595,4.5614715,4.42931262,4.725638254,4.469142421,4.820573337,4.667432685,4.829087928,4.663809182,4.609882648,4.653698041,4.306687526,4.614475019,4.676324339,4.414502466,4.643461571,4.754728343,4.672000959,4.595479973,4.473848739,4.338501609,4.333462557,4.725638254,4.643461571,4.585800463,4.399920923,4.600323353,4.557305812,4.725638254,4.786435194,4.624325905,4.496277809
thrA,4.119390411,3.995187845,3.914692448,4.252106507,3.99686816,4.06471245,4.16233064,4.296017453,3.951737616,4.08300491,4.085516831,4.07336532,4.365498001,3.963282311,4.050580181,4.103418325,3.836300967,3.914692448,3.968848141,4.03465586,3.963282311,3.99686816,3.972655852,3.908912403,4.050580181,4.180066531,4.056449309,4.108813675,4.070132376,3.827809394,3.724971619,3.933444528,3.99686816,4.070132376,3.948776662,4.526866169,4.140825602,3.908912403,4.00743609,3.911927018,4.056449309,4.111069679
thrB,4.07571226,3.922058654,3.851031607,4.134772312,3.953898634,4.052641337,4.095794455,4.281732303,3.917944605,4.04568038,4.07571226,4.04568038,4.322970952,3.959466472,4.023798505,4.058363124,3.882995836,3.911927018,3.963282311,4.01100093,3.96463965,3.929796047,3.963282311,3.818529893,4.013538465,4.124664659,3.980027932,4.031800414,3.97085428,3.80374438,3.696275531,3.855737748,3.950514602,3.995187845,3.884754423,4.502339586,4.088465262,3.910519241,3.963282311,3.959466472,3.998842971,4.08551693
thrC,4.037058136,3.86619982,3.816015723,4.132250976,3.931560946,4.01100093,4.052641337,4.26568113,3.925146607,4.037058136,3.987977739,4.001066981,4.242218524,3.931560946,4.047753266,4.054491656,3.80374438,3.846668643,3.957473527,3.972655852,3.93913964,3.933444528,3.959466472,3.799949602,4.088465262,4.108813675,3.96463965,4.037058136,3.978144284,3.813298678,3.665673618,3.875357895,3.957473527,3.899047319,3.916542132,4.481335548,4.06471245,3.942907502,3.908912403,3.922058654,3.963282311,4.052641392
yaaX,2.801700148,2.540100535,2.436303117,2.762493994,2.846510861,2.813097733,2.638718902,3.142634662,2.871537287,2.789027551,2.653022664,2.758529617,2.9762499,2.707101304,2.834738683,2.663555395,2.768463619,2.522531994,2.729598636,2.775452123,2.782852837,2.78821252,2.684411156,2.402812746,2.949278787,2.934210785,2.659897462,2.764200198,2.775987671,2.671676458,2.512505022,2.709597751,2.763714427,2.537256392,3.062067018,3.24092343,2.691101264,2.970419718,2.833216754,2.709597751,2.821846728,2.779616833
yaaA,2.894656091,2.85300757,2.718598614,3.063067966,2.764200198,2.958193505,2.881468684,3.148447812,2.936689977,2.710767636,2.770889055,2.859272234,2.772541246,2.925754758,2.870300913,2.991242101,3.122204218,2.869203307,2.860436482,2.826755434,2.782429018,2.812598396,2.924223974,2.830790291,2.869779606,2.831978355,2.884891343,2.88848931,2.85300757,2.917066155,3.040422339,2.967068908,2.649257816,2.587285187,2.573170756,2.689804807,2.889159762,2.694850063,2.777547344,2.594273837,2.724595575,2.910276175
yaaJ,2.058425585,2.16903172,2.152404951,2.342742739,2.068454664,2.278298294,1.964280698,2.28422946,2.222425029,1.934273754,2.156479486,2.02208847,2.027981602,1.917649101,1.965352368,2.008904223,2.21268421,2.125746026,1.993481937,2.206571689,2.091020503,2.150405121,2.120267635,2.049919413,2.135264307,2.033494298,2.039325198,2.027981602,1.988742928,1.957083707,2.027981602,2.150405121,1.982321405,2.229346028,2.219060978,1.976100661,2.02120073,1.909727664,1.951371167,2.107245484,2.062553491,2.029034615
talB,3.583594755,3.366141226,3.218524541,3.754654996,3.407781767,3.580778012,3.499746352,3.886302573,3.649343112,3.500979755,3.598048537,3.472624966,3.423571121,3.594780631,3.3192098,3.598048537,3.775609698,3.531498278,3.551469088,3.430637858,3.464732532,3.790725674,3.626969979,3.441171391,3.726155147,3.572746788,3.477686228,3.49294973,3.435214188,3.456849774,3.622916878,3.5826531,3.554331071,3.370883148,3.542713646,3.540674862,3.442972732,3.550687741,3.46107707,3.456849774,3.664243562,3.587184191
mog,2.684411156,2.618522446,2.55994826,3.009045164,2.683175583,2.825812667,2.66296959,3.085430656,2.867325809,2.928483019,2.781284038,2.671676458,2.781808345,2.807264202,2.775987671,2.814948218,3.104133677,2.587830553,2.731732711,2.695375199,2.684936846,2.836467212,2.769514609,2.702632969,2.951498808,2.729598636,2.667719926,2.695375199,2.733412675,2.845287839,2.952671852,2.76142504,2.728661989,2.635881188,3.049431061,2.753783637,2.751432157,2.877989516,2.786067621,2.608867574,2.849452423,2.732281208
yaaH,2.438891979,2.374703132,2.441872912,2.578012578,2.478761827,2.721311469,2.522002998,2.774308362,2.591520135,2.513105127,2.335871674,2.347045088,2.607664643,2.426178277,2.503629724,2.337350462,2.637296538,2.460664589,2.383042262,2.500216898,2.287342467,2.447232257,2.423721244,2.597096425,2.463790385,2.547386651,2.419761912,2.41178899,2.518310754,2.506423809,2.358909136,2.570808825,2.422262008,2.754475797,2.532439495,2.423721244,2.408152636,2.645975355,2.488857219,2.662316189,2.633964454,2.437031984
