"","C1","C2","C3","C4","C5","C6","C7","C8"
"aac3_Ia",0,0,0,0,0,0,1,0
"aac3_IIa",0,0,0,0,0,0,1,0
"aac3_IVa",0,0,0,0,0,1,0,0
"aac6p_Ib",0,1,0,0,0,0,0,0
"ant2pp_I",0,0,0,0,0,0,1,0
"ant3pp_I",0,1,0,0,0,0,0,0
"aph3p_Ia",0,1,0,0,0,0,0,0
"aph3pp_I",0,0,0,0,0,0,1,0
"aph4_Ia",0,0,0,0,0,1,0,0
"aph6_Id",0,0,0,0,0,0,1,0
"blaAMPC",0,0,0,0,0,0,1,0
"blaCARB",0,0,0,0,0,0,1,0
"blaCMY",0,0,0,0,0,0,1,0
"blaCTX_M",0,0,0,1,0,0,0,0
"blaIMP",0,0,0,0,0,0,1,0
"blaKPC",1,0,0,0,0,0,0,0
"blaNDM",0,0,0,0,0,0,1,0
"blaOXA",0,0,0,1,0,0,0,0
"blaSHV",0,0,0,0,1,0,0,0
"blaTEM",0,0,1,0,0,0,0,0
"blaVEB",0,0,0,0,0,0,1,0
"blaVIM",0,0,0,0,0,0,1,0
"gyrA",0,0,0,0,0,0,0,1
"gyrB",0,0,0,0,0,1,0,0
"parC",0,0,0,0,0,0,0,1
"parE",0,0,0,0,0,0,0,1
"qnrA",0,0,0,0,0,0,1,0
"qnrB",0,0,0,0,0,0,1,0
"qnrS",0,0,0,0,0,0,1,0
