"Truncated","Original"
"aac.2...IIa","aac(2')-IIa"
"aac.3..Ia","aac(3)-Ia"
"aac.3..Ib","aac(3)-Ib"
"aac.3..IIa","aac(3)-IIa"
"aac.3..IId","aac(3)-IId"
"aac.3..IIe","aac(3)-IIe"
"aac.3..IIg","aac(3)-IIg"
"aac.3..IV","aac(3)-IV"
"aac.3..VIa","aac(3)-VIa"
"aac.6...31","aac(6')-31"
"aac.6...33","aac(6')-33"
"aac.6...Ia","aac(6')-Ia"
"aac.6...Iaf","aac(6')-Iaf"
"aac.6...Iai","aac(6')-Iai"
"aac.6...Ian","aac(6')-Ian"
"aac.6...Ib","aac(6')-Ib"
"aac.6...Ib.cr","aac(6')-Ib-cr"
"aac.6...Ib.cr4","aac(6')-Ib-cr4"
"aac.6...Ib.cr5","aac(6')-Ib-cr5"
"aac.6...Ib.cr9","aac(6')-Ib-cr9"
"aac.6...Ib.Hangzhou","aac(6')-Ib-Hangzhou"
"aac.6...Ib.Suzhou","aac(6')-Ib-Suzhou"
"aac.6...Ib.","aac(6')-Ib'"
"aac.6...Ib10","aac(6')-Ib10"
"aac.6...Ib11","aac(6')-Ib11"
"aac.6...Ib3","aac(6')-Ib3"
"aac.6...Ib4","aac(6')-Ib4"
"aac.6...Ib7","aac(6')-Ib7"
"aac.6...Ib8","aac(6')-Ib8"
"aac.6...Ie.aph.2....Ia","aac(6')-Ie-aph(2'')-Ia"
"aac.6...IIa","aac(6')-IIa"
"aac.6...IIc","aac(6')-IIc"
"aac.6...Il","aac(6')-Il"
"aac.6...Im","aac(6')-Im"
"aac.6...Iq","aac(6')-Iq"
"aacA43","aacA43"
"aadA","aadA"
"aadA1","aadA1"
"aadA10","aadA10"
"aadA11","aadA11"
"aadA12","aadA12"
"aadA13","aadA13"
"aadA15","aadA15"
"aadA16","aadA16"
"aadA17","aadA17"
"aadA2","aadA2"
"aadA22","aadA22"
"aadA25","aadA25"
"aadA3","aadA3"
"aadA4","aadA4"
"aadA5","aadA5"
"aadA7","aadA7"
"aadA8","aadA8"
"aadA8b","aadA8b"
"ACC.1","ACC-1"
"ACC.4","ACC-4"
"ant.2....Ia","ant(2'')-Ia"
"ant6.Ia","ant6-Ia"
"aph.2....IIa","aph(2'')-IIa"
"aph.3....Ib","aph(3'')-Ib"
"aph.3...Ia","aph(3')-Ia"
"aph.3...Ib","aph(3')-Ib"
"aph.3...IIa","aph(3')-IIa"
"aph.3...IIIa","aph(3')-IIIa"
"aph.3...VI","aph(3')-VI"
"aph.3...VIa","aph(3')-VIa"
"aph.3...VIb","aph(3')-VIb"
"aph.4..Ia","aph(4)-Ia"
"aph.6..Id","aph(6)-Id"
"aph3.Ia","aph3-Ia"
"aphA15","aphA15"
"armA","armA"
"arr.2","arr-2"
"arr.3","arr-3"
"arr.4","arr-4"
"BEL.1","BEL-1"
"CARB.2","CARB-2"
"catA1","catA1"
"catA13","catA13"
"catB10","catB10"
"catB11","catB11"
"catB2","catB2"
"catB3","catB3"
"CatB4","CatB4"
"catB6","catB6"
"catB8","catB8"
"catII.1","catII.1"
"catII.2","catII.2"
"catIII","catIII"
"cmlA1","cmlA1"
"cmlA4","cmlA4"
"cmlA5","cmlA5"
"cmlA6","cmlA6"
"cmlB","cmlB"
"cmx","cmx"
"CMY.13","CMY-13"
"CMY.140","CMY-140"
"CMY.16","CMY-16"
"CMY.19","CMY-19"
"CMY.2","CMY-2"
"CMY.23","CMY-23"
"CMY.30","CMY-30"
"CMY.31","CMY-31"
"CMY.4","CMY-4"
"CMY.42","CMY-42"
"CMY.43","CMY-43"
"CMY.48","CMY-48"
"CMY.6","CMY-6"
"CMY.8","CMY-8"
"CTX.M.1","CTX-M-1"
"CTX.M.10","CTX-M-10"
"CTX.M.101","CTX-M-101"
"CTX.M.104","CTX-M-104"
"CTX.M.105","CTX-M-105"
"CTX.M.115","CTX-M-115"
"CTX.M.12","CTX-M-12"
"CTX.M.123","CTX-M-123"
"CTX.M.13","CTX-M-13"
"CTX.M.132","CTX-M-132"
"CTX.M.133","CTX-M-133"
"CTX.M.134","CTX-M-134"
"CTX.M.139","CTX-M-139"
"CTX.M.14","CTX-M-14"
"CTX.M.147","CTX-M-147"
"CTX.M.15","CTX-M-15"
"CTX.M.156","CTX-M-156"
"CTX.M.163","CTX-M-163"
"CTX.M.19","CTX-M-19"
"CTX.M.2","CTX-M-2"
"CTX.M.24","CTX-M-24"
"CTX.M.25","CTX-M-25"
"CTX.M.26","CTX-M-26"
"CTX.M.27","CTX-M-27"
"CTX.M.3","CTX-M-3"
"CTX.M.32","CTX-M-32"
"CTX.M.33","CTX-M-33"
"CTX.M.35","CTX-M-35"
"CTX.M.36","CTX-M-36"
"CTX.M.39","CTX-M-39"
"CTX.M.40","CTX-M-40"
"CTX.M.51","CTX-M-51"
"CTX.M.55","CTX-M-55"
"CTX.M.58","CTX-M-58"
"CTX.M.62","CTX-M-62"
"CTX.M.63","CTX-M-63"
"CTX.M.64","CTX-M-64"
"CTX.M.65","CTX-M-65"
"CTX.M.71","CTX-M-71"
"CTX.M.8","CTX-M-8"
"CTX.M.89","CTX-M-89"
"CTX.M.9","CTX-M-9"
"CTX.M.90","CTX-M-90"
"CTX.M.96","CTX-M-96"
"CTX.M.98","CTX-M-98"
"dfr22","dfr22"
"dfrA1","dfrA1"
"dfrA10","dfrA10"
"dfrA12","dfrA12"
"dfrA14","dfrA14"
"dfrA15","dfrA15"
"dfrA16","dfrA16"
"dfrA17","dfrA17"
"dfrA18","dfrA18"
"dfrA19","dfrA19"
"dfrA21","dfrA21"
"dfrA22","dfrA22"
"dfrA23","dfrA23"
"dfrA25","dfrA25"
"dfrA26","dfrA26"
"dfrA27","dfrA27"
"dfrA29","dfrA29"
"dfrA30","dfrA30"
"dfrA31","dfrA31"
"dfrA32","dfrA32"
"dfrA35","dfrA35"
"dfrA37","dfrA37"
"dfrA3b","dfrA3b"
"dfrA5","dfrA5"
"dfrA6.1","dfrA6.1"
"dfrA7","dfrA7"
"dfrA8","dfrA8"
"dfrB1","dfrB1"
"dfrB3","dfrB3"
"dfrB4","dfrB4"
"dfrB9","dfrB9"
"dfrC","dfrC"
"dfrF","dfrF"
"DHA.1","DHA-1"
"DHA.15","DHA-15"
"DHA.6","DHA-6"
"DHA.7","DHA-7"
"ereA","ereA"
"ereA2","ereA2"
"ereB","ereB"
"erm.42.","erm(42)"
"erm.49.","erm(49)"
"ermB","ermB"
"ermC","ermC"
"ermG","ermG"
"ermT","ermT"
"floR","floR"
"FONA.5","FONA-5"
"fosA3","fosA3"
"fosA4","fosA4"
"fosA7","fosA7"
"fosB4","fosB4"
"FOX.5","FOX-5"
"FOX.8","FOX-8"
"GES.1","GES-1"
"GES.13","GES-13"
"GES.2","GES-2"
"GES.24","GES-24"
"GES.3","GES-3"
"GES.4","GES-4"
"GES.5","GES-5"
"GES.7","GES-7"
"GES.9","GES-9"
"HERA.3","HERA-3"
"IMP.1","IMP-1"
"IMP.11","IMP-11"
"IMP.14","IMP-14"
"IMP.15","IMP-15"
"IMP.18","IMP-18"
"IMP.19","IMP-19"
"IMP.22","IMP-22"
"IMP.26","IMP-26"
"IMP.27","IMP-27"
"IMP.4","IMP-4"
"IMP.6","IMP-6"
"IMP.68","IMP-68"
"IMP.8","IMP-8"
"KPC.10","KPC-10"
"KPC.12","KPC-12"
"KPC.18","KPC-18"
"KPC.19","KPC-19"
"KPC.2","KPC-2"
"KPC.23","KPC-23"
"KPC.25","KPC-25"
"KPC.29","KPC-29"
"KPC.3","KPC-3"
"KPC.31","KPC-31"
"KPC.33","KPC-33"
"KPC.34","KPC-34"
"KPC.36","KPC-36"
"KPC.38","KPC-38"
"KPC.39","KPC-39"
"KPC.4","KPC-4"
"KPC.41","KPC-41"
"KPC.45","KPC-45"
"KPC.46","KPC-46"
"KPC.49","KPC-49"
"KPC.5","KPC-5"
"KPC.50","KPC-50"
"KPC.51","KPC-51"
"KPC.52","KPC-52"
"KPC.54","KPC-54"
"KPC.56","KPC-56"
"KPC.8","KPC-8"
"LAP.1","LAP-1"
"LAP.2","LAP-2"
"lnuA","lnuA"
"lnuF","lnuF"
"lnuG","lnuG"
"mcr.1.1","mcr-1.1"
"mcr.1.2","mcr-1.2"
"mcr.2.2","mcr-2.2"
"mcr.3.1","mcr-3.1"
"mcr.3.11","mcr-3.11"
"mcr.3.2","mcr-3.2"
"mcr.3.4","mcr-3.4"
"mcr.8.1","mcr-8.1"
"mcr.9.1","mcr-9.1"
"mef.B.","mef(B)"
"MOX.2","MOX-2"
"mphA","mphA"
"mphB","mphB"
"mphE","mphE"
"mphG","mphG"
"msrE","msrE"
"NDM.1","NDM-1"
"NDM.14","NDM-14"
"NDM.15","NDM-15"
"NDM.16","NDM-16"
"NDM.19","NDM-19"
"NDM.23","NDM-23"
"NDM.29","NDM-29"
"NDM.3","NDM-3"
"NDM.4","NDM-4"
"NDM.5","NDM-5"
"NDM.6","NDM-6"
"NDM.7","NDM-7"
"NDM.9","NDM-9"
"OXA.1","OXA-1"
"OXA.10","OXA-10"
"OXA.101","OXA-101"
"OXA.129","OXA-129"
"OXA.162","OXA-162"
"OXA.163","OXA-163"
"OXA.17","OXA-17"
"OXA.181","OXA-181"
"OXA.2","OXA-2"
"OXA.204","OXA-204"
"OXA.21","OXA-21"
"OXA.232","OXA-232"
"OXA.244","OXA-244"
"OXA.245","OXA-245"
"OXA.4","OXA-4"
"OXA.427","OXA-427"
"OXA.48","OXA-48"
"OXA.484","OXA-484"
"OXA.9","OXA-9"
"OXA.926","OXA-926"
"PC1.6","PC1-6"
"PER.1","PER-1"
"PER.7","PER-7"
"qepA2","qepA2"
"qnrA1","qnrA1"
"qnrA3","qnrA3"
"qnrA6","qnrA6"
"qnrB1","qnrB1"
"qnrB10","qnrB10"
"qnrB12","qnrB12"
"qnrB17","qnrB17"
"qnrB19","qnrB19"
"qnrB2","qnrB2"
"qnrB3","qnrB3"
"qnrB32","qnrB32"
"qnrB4","qnrB4"
"qnrB5","qnrB5"
"qnrB6","qnrB6"
"qnrB7","qnrB7"
"qnrB9.2","qnrB9.2"
"qnrD1","qnrD1"
"qnrE1","qnrE1"
"qnrE2","qnrE2"
"qnrS1","qnrS1"
"qnrS2","qnrS2"
"qnrVC1","qnrVC1"
"qnrVC4","qnrVC4"
"qnrVC6","qnrVC6"
"rmtB","rmtB"
"rmtC","rmtC"
"rmtD","rmtD"
"rmtD2","rmtD2"
"rmtE","rmtE"
"rmtE2","rmtE2"
"rmtF","rmtF"
"rmtG","rmtG"
"sat.2","sat-2"
"SCO.1","SCO-1"
"SFO.1","SFO-1"
"SHV.1","SHV-1"
"SHV.103","SHV-103"
"SHV.106","SHV-106"
"SHV.107","SHV-107"
"SHV.108","SHV-108"
"SHV.11","SHV-11"
"SHV.110","SHV-110"
"SHV.111","SHV-111"
"SHV.119","SHV-119"
"SHV.12","SHV-12"
"SHV.120","SHV-120"
"SHV.129","SHV-129"
"SHV.133","SHV-133"
"SHV.153","SHV-153"
"SHV.154","SHV-154"
"SHV.164","SHV-164"
"SHV.172","SHV-172"
"SHV.178","SHV-178"
"SHV.187","SHV-187"
"SHV.2","SHV-2"
"SHV.206","SHV-206"
"SHV.208","SHV-208"
"SHV.209","SHV-209"
"SHV.214","SHV-214"
"SHV.215","SHV-215"
"SHV.24","SHV-24"
"SHV.25","SHV-25"
"SHV.27","SHV-27"
"SHV.2A","SHV-2A"
"SHV.30","SHV-30"
"SHV.31","SHV-31"
"SHV.36","SHV-36"
"SHV.41","SHV-41"
"SHV.49","SHV-49"
"SHV.5","SHV-5"
"SHV.52","SHV-52"
"SHV.55","SHV-55"
"SHV.56","SHV-56"
"SHV.7","SHV-7"
"SHV.82","SHV-82"
"sph","sph"
"strA","strA"
"strB","strB"
"sul1","sul1"
"sul2","sul2"
"sul3","sul3"
"TEM.1","TEM-1"
"TEM.10","TEM-10"
"TEM.104","TEM-104"
"TEM.105","TEM-105"
"TEM.110","TEM-110"
"TEM.116","TEM-116"
"TEM.117","TEM-117"
